id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
2100185296,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
2100185398,another group,not detected,,another situation
2100185438,another group,not detected,,another situation
2100185443,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185581,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100185593,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185615,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100185658,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
2100185690,another group,not detected,,crossing at a marked crossing
2100185706,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100185777,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185783,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,"walking, standing on the pavement"
2100185796,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185798,man,not detected,,pedestrian entering on the STOP signal
2100185800,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185831,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185841,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100185845,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100185892,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185894,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100186030,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100186102,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100186108,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100186109,child (up to 15 years),good no adverse circumstances were found,,pedestrian entering on the STOP signal
2100186131,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100186179,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2100186182,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100186228,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100186277,Woman,"inattention, distraction",,pedestrian entering on the STOP signal
2100186289,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100186339,another group,not detected,,another situation
2100186346,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100186349,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100186377,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
2100186391,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100186398,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"confused, hasty, indecisive behaviour",another situation
2100186399,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
2100186415,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100186479,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
2100186484,man,not detected,,another situation
2100186522,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
2100186556,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100186585,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100186600,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
2100186629,another group,not detected,,another situation
2100186650,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
2100186671,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
2100186746,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100186832,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
